data_type,udt_name,column_name,tablename
integer,int4,updated_by,brand_vanity
USER-DEFINED,citext,uuid,brand_vanity
USER-DEFINED,citext,vanity,brand_vanity
integer,int4,id,brand_vanity
timestamp with time zone,timestamptz,created,box_file
integer,int4,created_by,box_file
character varying,varchar,sha1,box_file
integer,int4,storage_namespace,box_file
character varying,varchar,study_uid,box_file
timestamp with time zone,timestamptz,updated,box_file
integer,int4,updated_by,box_file
integer,int4,user_id,box_file
USER-DEFINED,citext,uuid,box_file
integer,int4,id,box_file
smallint,int2,not_dicom,box_file
integer,int4,account_id,filter
text,text,configuration,filter
timestamp with time zone,timestamptz,created,filter
integer,int4,created_by,filter
USER-DEFINED,citext,name,filter
character varying,varchar,type,filter
integer,int4,id,filter
timestamp with time zone,timestamptz,updated,filter
integer,int4,updated_by,filter
integer,int4,user_id,filter
USER-DEFINED,citext,uuid,filter
integer,int4,case_id,case_status_lock
timestamp with time zone,timestamptz,created,case_status_lock
integer,int4,created_by,case_status_lock
timestamp with time zone,timestamptz,updated,case_status_lock
integer,int4,updated_by,case_status_lock
integer,int4,user_id,case_status_lock
USER-DEFINED,citext,uuid,case_status_lock
integer,int4,id,case_status_lock
text,text,anonymous_permissions,brand
text,text,cd_multi,brand
text,text,cd_single,brand
text,text,cd_viewer_settings,brand
integer,int4,cluster_id,brand
timestamp with time zone,timestamptz,created,brand
integer,int4,created_by,brand
text,text,css,brand
text,text,image_1,brand
text,text,image_2,brand
text,text,image_3,brand
text,text,less,brand
USER-DEFINED,citext,name,brand
text,text,oauth,brand
text,text,phr_default_events,brand
text,text,phr_permissions,brand
text,text,safari_instruction_1,brand
text,text,safari_instruction_2,brand
text,text,safari_instruction_3,brand
text,text,safari_instruction_4,brand
text,text,safari_instruction_5,brand
USER-DEFINED,hstore,saml,brand
character varying,varchar,saml_redirect_url,brand
USER-DEFINED,hstore,settings,brand
text,text,ssi_js,brand
text,text,support_html,brand
text,text,ui_json,brand
timestamp with time zone,timestamptz,updated,brand
integer,int4,updated_by,brand
text,text,uploader_icon,brand
text,text,uploader_logo,brand
USER-DEFINED,citext,uuid,brand
integer,int4,id,brand
integer,int4,session_expire,brand
integer,int4,account_id,billing_summary
character varying,varchar,account_name,billing_summary
character varying,varchar,account_uuid,billing_summary
double precision,float8,admin_fee,billing_summary
double precision,float8,annual_volume_floor_count,billing_summary
double precision,float8,bucket_charges,billing_summary
timestamp with time zone,timestamptz,created,billing_summary
integer,int4,created_by,billing_summary
double precision,float8,flat_rate,billing_summary
character varying,varchar,month,billing_summary
double precision,float8,monthly_volume_floor_count,billing_summary
double precision,float8,mtd_studies,billing_summary
double precision,float8,per_study_price,billing_summary
double precision,float8,size,billing_summary
double precision,float8,size_past,billing_summary
double precision,float8,size_price,billing_summary
double precision,float8,size_price_past,billing_summary
double precision,float8,storage_overage,billing_summary
double precision,float8,storage_price,billing_summary
double precision,float8,total,billing_summary
double precision,float8,total_storage_size,billing_summary
timestamp with time zone,timestamptz,updated,billing_summary
integer,int4,updated_by,billing_summary
USER-DEFINED,citext,uuid,billing_summary
double precision,float8,ytd_studies,billing_summary
integer,int4,id,billing_summary
integer,int4,account_id,dictionary_attach
timestamp with time zone,timestamptz,created,dictionary_attach
integer,int4,created_by,dictionary_attach
integer,int4,dictionary_id,dictionary_attach
integer,int4,namespace_id,dictionary_attach
timestamp with time zone,timestamptz,updated,dictionary_attach
integer,int4,updated_by,dictionary_attach
USER-DEFINED,citext,uuid,dictionary_attach
integer,int4,id,dictionary_attach
smallint,int2,add_if_no_match,dictionary_attach
smallint,int2,approve_if_match,dictionary_attach
integer,int4,sequence,dictionary_attach
smallint,int2,skip_if_lookup_unchanged,dictionary_attach
smallint,int2,skip_if_replace_has_value,dictionary_attach
integer,int4,cluster_id,cluster_namespace
timestamp with time zone,timestamptz,created,cluster_namespace
integer,int4,created_by,cluster_namespace
integer,int4,namespace_id,cluster_namespace
timestamp with time zone,timestamptz,updated,cluster_namespace
integer,int4,updated_by,cluster_namespace
USER-DEFINED,citext,uuid,cluster_namespace
integer,int4,id,cluster_namespace
timestamp with time zone,timestamptz,created,database_scripts
integer,int4,created_by,database_scripts
character varying,varchar,name,database_scripts
timestamp with time zone,timestamptz,updated,database_scripts
integer,int4,updated_by,database_scripts
integer,int4,id,database_scripts
text,text,attachment,radreport
timestamp with time zone,timestamptz,created,radreport
integer,int4,created_by,radreport
text,text,fields,radreport
integer,int4,study_id,radreport
character varying,varchar,type,radreport
integer,int4,id,radreport
timestamp with time zone,timestamptz,updated,radreport
integer,int4,updated_by,radreport
integer,int4,user_id,radreport
USER-DEFINED,citext,uuid,radreport
integer,int4,brand_id,brand_namespace
timestamp with time zone,timestamptz,created,brand_namespace
integer,int4,created_by,brand_namespace
USER-DEFINED,citext,namespace_id,brand_namespace
timestamp with time zone,timestamptz,updated,brand_namespace
integer,int4,updated_by,brand_namespace
USER-DEFINED,citext,uuid,brand_namespace
integer,int4,id,brand_namespace
USER-DEFINED,citext,accession_number,hl7_accession
integer,int4,account_id,hl7_accession
timestamp with time zone,timestamptz,created,hl7_accession
integer,int4,hl7_id,hl7_accession
integer,int4,study_id,hl7_accession
character varying,varchar,type,hl7_accession
integer,int4,id,hl7_accession
integer,int4,account_id,template_assign
timestamp with time zone,timestamptz,created,template_assign
integer,int4,created_by,template_assign
character varying,varchar,name,template_assign
timestamp with time zone,timestamptz,updated,template_assign
integer,int4,updated_by,template_assign
USER-DEFINED,citext,uuid,template_assign
character varying,varchar,version,template_assign
integer,int4,id,template_assign
integer,int4,account_id,radreport_analytics
date,date,day,radreport_analytics
integer,int4,namespace_id,radreport_analytics
integer,int4,user_id,radreport_analytics
integer,int4,id,radreport_analytics
integer,int4,radreport_create,radreport_analytics
integer,int4,radreport_delete,radreport_analytics
integer,int4,radreport_report_generated,radreport_analytics
integer,int4,radreport_signed,radreport_analytics
text,text,ack,study_hl7
timestamp with time zone,timestamptz,created,study_hl7
integer,int4,created_by,study_hl7
integer,int4,destination_id,study_hl7
integer,int4,hl7_id,study_hl7
integer,int4,hl7_template_hl7_id,study_hl7
integer,int4,hl7_template_id,study_hl7
integer,int4,node_id,study_hl7
timestamp with time zone,timestamptz,pickup,study_hl7
"""char""",char,status,study_hl7
integer,int4,study_id,study_hl7
timestamp with time zone,timestamptz,updated,study_hl7
integer,int4,updated_by,study_hl7
USER-DEFINED,citext,uuid,study_hl7
integer,int4,id,study_hl7
integer,int4,account_id,radreportmacro
text,text,body,radreportmacro
timestamp with time zone,timestamptz,created,radreportmacro
integer,int4,created_by,radreportmacro
character varying,varchar,hotkey,radreportmacro
character varying,varchar,modality,radreportmacro
character varying,varchar,name,radreportmacro
character varying,varchar,type,radreportmacro
timestamp with time zone,timestamptz,updated,radreportmacro
integer,int4,updated_by,radreportmacro
integer,int4,user_id,radreportmacro
USER-DEFINED,citext,uuid,radreportmacro
integer,int4,id,radreportmacro
integer,int4,phi_namespace,study_not_ready
integer,int4,study_id,study_not_ready
integer,int4,id,study_not_ready
